sd_ri,sd_rs,Repeat,r_max,lwr,upr,convergence,Hit
0.1,0.1,1,1.0043970074043984,0.24568435000000005,1.0509655,1,1
0.1,0.1,2,1.0068672248636974,0.09584472250000016,0.9071697500000001,1,1
0.1,0.1,3,1.0035637391645849,0.5638101750000001,1.3757567499999999,1,1
0.1,0.1,4,1.0027726759016349,0.5725714,1.39798575,1,1
0.1,0.1,5,1.002773847950687,0.39728465000000013,1.2797370000000001,1,1
0.1,0.1,6,1.002233299609355,0.27171270000000014,1.1767162500000001,1,1
0.1,0.1,7,1.0033143170798138,0.19374127500000005,1.00228925,1,1
0.1,0.1,8,1.001621098786619,0.3975888250000002,1.25183275,1,1
0.1,0.1,9,1.0098578916286813,0.34142765,1.1724725,1,1
0.1,0.1,10,1.0059763035098903,0.1048435750000001,1.0415677500000002,1,1
0.1,0.1,11,1.0032805169212937,0.22189735000000013,1.12197075,1,1
0.1,0.1,12,1.0032266095567024,0.51986935,1.3671545000000003,1,1
0.1,0.1,13,1.0039215369017274,0.3006799000000001,1.15790125,1,1
0.1,0.1,14,1.0081241272822234,0.607252725,1.4704122499999999,1,1
0.1,0.1,15,1.003379565994386,0.15510097500000014,0.9212341000000002,1,1
0.1,0.1,16,1.0055849584074399,0.28299585000000005,1.1661505,1,1
0.1,0.1,17,1.006217918521225,0.6478958250000002,1.4682465000000002,1,1
0.1,0.1,18,1.0024951333991716,0.6352916,1.48680675,1,1
0.1,0.1,19,1.0034080538498864,0.787165925,1.6124275,1,1
0.1,0.1,20,1.0059782787338842,0.418407075,1.33841575,1,1
0.1,0.1,21,1.0033767438966021,0.49818692500000006,1.3086650000000002,1,1
0.1,0.1,22,1.0073116248656409,0.291792775,1.1417629999999999,1,1
0.1,0.1,23,1.0027416251949417,0.43843299999999996,1.248539,1,1
0.1,0.1,24,1.002982217488155,0.24742570000000025,1.0677527500000001,1,1
0.1,0.1,25,1.0081441286488384,0.12505980000000022,1.1249657499999999,1,1
0.1,0.1,26,1.0038530356029032,0.40541925000000023,1.2554222500000003,1,1
0.1,0.1,27,1.004877706455628,0.34933615,1.1258560000000002,1,1
0.1,0.1,28,1.002430567563028,0.3165435250000001,1.36774025,1,1
0.1,0.1,29,1.0017422011270176,0.692788375,1.5240695,1,1
0.1,0.1,30,1.0023615739766636,0.1376412000000001,0.931110675,1,1
0.1,0.1,31,1.0030371765414448,0.7690222500000001,1.6007220000000002,1,1
0.1,0.1,32,1.0093765947373072,0.261311475,1.1852235,1,1
0.1,0.1,33,1.0041751930141058,0.763965425,1.6837595,1,1
0.1,0.1,34,1.0048596225044328,0.38407012500000015,1.3176935000000003,1,1
0.1,0.1,35,1.0032502679823918,0.5559885250000002,1.332889,1,1
0.1,0.1,36,1.0054133709416588,0.38824722500000003,1.2433205,1,1
0.1,0.1,37,1.0048925774000792,0.5397479750000002,1.4044477500000003,1,1
0.1,0.1,38,1.002160594182245,0.5248049500000003,1.337722,1,1
0.1,0.1,39,1.0027404916446774,0.484514475,1.3230045,1,1
0.1,0.1,40,1.0040003566492213,0.22911292500000008,1.0901939999999999,1,1
0.1,0.1,41,1.0035484263048595,0.2623035250000002,1.0704559999999999,1,1
0.1,0.1,42,1.0048510090182123,0.2722370500000002,1.12083375,1,1
0.1,0.1,43,1.0036190404438663,0.21407397500000022,1.3729205000000002,1,1
0.1,0.1,44,1.0045760500529342,0.6006372500000001,1.4058915,1,1
0.1,0.1,45,1.0024534656307413,0.3240560750000002,1.15390425,1,1
0.1,0.1,46,1.0067550629301902,0.18877830000000004,1.16071875,1,1
0.1,0.1,47,1.0039489679939575,-0.23106684999999988,0.536667275,1,0
0.1,0.1,48,1.002138745947368,0.5489698500000001,1.37925775,1,1
0.1,0.1,49,1.0017035885863261,-0.02389276499999994,0.77893715,1,0
0.1,0.1,50,1.0036615921355854,0.11850637500000007,0.9420597000000002,1,1
0.1,0.1,51,1.0039128978635086,0.44727645,1.31297025,1,1
0.1,0.1,52,1.001978921477084,0.29268175000000013,1.08497475,1,1
0.1,0.1,53,1.005362071822799,0.3770836750000002,1.26618925,1,1
0.1,0.1,54,1.0022437713535413,0.7912580250000002,1.704887,1,1
0.1,0.1,55,1.0044386882312835,0.7370241000000002,1.5332785,1,1
0.1,0.1,56,1.00465878394768,0.386835725,1.2276375,1,1
0.1,0.1,57,1.0022628402492937,0.3920666250000001,1.2405157500000001,1,1
0.1,0.1,58,1.0043051052197556,0.6054006250000001,1.4617512500000003,1,1
0.1,0.1,59,1.0034350588474914,0.3688794750000001,1.4569900000000002,1,1
0.1,0.1,60,1.005258913622406,0.6360635000000001,1.5780085000000001,1,1
0.1,0.1,61,1.0058710724004802,0.46266952499999997,1.2939717500000003,1,1
