Exp,subject,test,trial,value
Exp1,20160810AT1,Pretest,1,1
Exp1,20160818YK2,Pretest,1,1
Exp1,20160819CT2,Pretest,1,0
Exp1,20160826FM9,Pretest,1,0
Exp1,20160826YI9,Pretest,1,1
Exp1,20160829AK5,Pretest,1,0
Exp1,20160908TN14,Pretest,1,0
Exp1,20160909HS13,Pretest,1,1
Exp1,20160910FM13,Pretest,1,0
Exp1,20170206YO5,Pretest,1,1
Exp1,20170213KK13,Pretest,1,1
Exp1,20170213RK6,Pretest,1,0
Exp1,20170216KT14,Pretest,1,0
Exp1,20170216KE1,Pretest,1,1
Exp1,20170223HY6,Pretest,1,1
Exp1,20170223WT2,Pretest,1,0
Exp1,20170224AS5 ,Pretest,1,1
Exp1,20170227TO10,Pretest,1,0
Exp1,20170227FK9,Pretest,1,0
Exp1,20170309KI14,Pretest,1,1
Exp1,20170309HY6b,Pretest,1,0
Exp1,20170906SH_10,Pretest,1,0
Exp1,20180206MM10,Pretest,1,0
Exp1,20180213SA_01,Pretest,1,0
Exp1,20160810AT1,Pretest,2,1
Exp1,20160818YK2,Pretest,2,1
Exp1,20160819CT2,Pretest,2,0
Exp1,20160826FM9,Pretest,2,0
Exp1,20160826YI9,Pretest,2,1
Exp1,20160829AK5,Pretest,2,1
Exp1,20160908TN14,Pretest,2,1
Exp1,20160909HS13,Pretest,2,0
Exp1,20160910FM13,Pretest,2,0
Exp1,20170206YO5,Pretest,2,0
Exp1,20170213KK13,Pretest,2,0
Exp1,20170213RK6,Pretest,2,1
Exp1,20170216KT14,Pretest,2,1
Exp1,20170216KE1,Pretest,2,1
Exp1,20170223HY6,Pretest,2,0
Exp1,20170223WT2,Pretest,2,0
Exp1,20170224AS5 ,Pretest,2,1
Exp1,20170227TO10,Pretest,2,0
Exp1,20170227FK9,Pretest,2,1
Exp1,20170309KI14,Pretest,2,0
Exp1,20170309HY6b,Pretest,2,1
Exp1,20170906SH_10,Pretest,2,1
Exp1,20180206MM10,Pretest,2,0
Exp1,20180213SA_01,Pretest,2,0
Exp1,20160810AT1,Pretest,3,0
Exp1,20160818YK2,Pretest,3,1
Exp1,20160819CT2,Pretest,3,0
Exp1,20160826FM9,Pretest,3,1
Exp1,20160826YI9,Pretest,3,1
Exp1,20160829AK5,Pretest,3,1
Exp1,20160908TN14,Pretest,3,1
Exp1,20160909HS13,Pretest,3,0
Exp1,20160910FM13,Pretest,3,0
Exp1,20170206YO5,Pretest,3,1
Exp1,20170213KK13,Pretest,3,0
