Exp,subject,Movie1,Movie2,Movie3
Exp1,20160810AT1,7.813063291,1.258256148,0
Exp1,20160818YK2,20.612,20.598,20.56056317
Exp1,20160819CT2,20.573,20.542,20.559
Exp1,20160826FM9,19.03748994,19.25167954,15.23719597
Exp1,20160826YI9,15.37778016,17.45914297,15.72316953
Exp1,20160829AK5,20.43583121,12.56587608,13.04429547
Exp1,20160908TN14,20.59,20.04336401,19.60334397
Exp1,20160909HS13,20.553,20.49942249,18.96632484
Exp1,20160910FM13,20.51986494,18.59958768,20.44587649
Exp1,20170206YO5,0,0.092931501,9.754965135
Exp1,20170213KK13,20.34561887,19.35945801,18.83283107
Exp1,20170213RK6,18.3753047,9.530990123,5.593124538
Exp1,20170216KT14,18.099987,14.38390831,20.52611303
Exp1,20170216KE1,6.929105133,3.344234619,4.920692245
Exp1,20170223HY6,20.59411957,17.74601229,8.355437372
Exp1,20170223WT2,15.84671493,18.02161993,10.06414468
Exp1,20170224AS5,16.77039558,15.76421894,16.52970373
Exp1,20170227TO10,15.32578744,14.77407442,15.03567888
Exp1,20170227FK9,19.68757184,16.58086265,15.25528348
Exp1,20170309KI14,11.41080324,7.349530061,7.463153657
Exp1,20170309HY6b,17.09974351,19.39160066,8.542226415
Exp1,20170906SH_10,20.53855834,20.35594584,20.52438499
Exp1,20180206MM_10,14.84499798,15.83433333,10.62850041
Exp1,20180213SA_01,20.597,12.02382594,11.52398726
Exp2,20170323IM4,11.16190861,11.88781579,14.04371769
Exp2,20170325NS3c,20.22415951,14.52507181,17.74982759
Exp2,20170328NS8,16.17390164,3.842844828,1.953060394
Exp2,20170330KK7,19.4515702,18.89264889,14.43555158
Exp2,20170809HK_12,20.897,20.616,20.594
Exp2,20170809YK_15,17.6094167,20.11713541,20.46560575
Exp2,20170816YT_16,15.99639968,9.772760656,4.047234349
Exp2,20170817HO_08,19.93905074,20.49303734,19.86995086
Exp2,20170818NH_11,13.88146768,19.47756373,11.35833716
Exp2,20170821RS_12,11.56265962,2.00876276,0.396993847
Exp2,20170826FK_15,20.25169237,20.27368975,20.19747455
Exp2,20170828DO_03,19.49483087,20.609,19.74145302
Exp2,20170828YT_16,20.78,20.654,20.569
Exp2,20170829AK_03,16.57367336,19.64966653,15.68020919
Exp2,20170830AK_11,14.85948442,13.44394435,10.870212
Exp2,20170830A_16,18.75891251,20.404046,19.46998278
Exp2,20170902ST_04,11.08841227,17.67037188,6.008382857
Exp2,20170904YT_07,20.51863171,19.99450267,19.59565982
Exp2,20170906ZS_11,17.44800901,19.08670115,15.59828372
Exp2,20170911SR_07,20.60255979,20.627,15.9838685
Exp2,20170911YS_12,20.5241097,18.35536808,19.61990472
Exp2,20180213KF_08,19.10885335,18.1781329,17.16430469
Exp2,20180213MS_04,19.94095343,17.22184934,14.68088743
Exp2,20180219YS_15,20.04893238,20.35880903,20.23896269
Exp3,20190829KM01,19.52313542,17.34373387,20.9260757
Exp3,20190903HI06,20.29907339,19.03325196,20.04965517
Exp3,20190906MF13,20.768,20.43168341,19.09666693
Exp3,20190906YI09,18.08506233,15.3397186,17.29063864
Exp3,20200106SO02,20.54201988,20.65244996,20.24433883
Exp3,20200125AO05,20.04711551,20.24026738,20.05153579
Exp3,20200207KY14,13.31539642,7.880517758,14.20771567
Exp3,20200207TT02,20.711,20.31337582,18.31603711
Exp3,20200210RY10,20.20202135,19.83882162,20.14432281
Exp3,20200210TK05,17.50698568,18.22496907,12.40640144
Exp3,20200212RS06,20.60939467,20.633,18.64925989
Exp3,20200219AK14,15.49233645,13.29663371,15.75672461
Exp3,20200219RO10,13.34673953,11.66836414,9.13788451
Exp3,20200219TY13,8.221352844,16.60794872,16.41948492
Exp3,20200221SY09,18.35799673,18.10428934,17.02549303
Exp3,20201019RC01,18.6947435,19.62526763,19.0290212
Exp3,20201019RT02,17.20538504,16.78678904,10.66935963
Exp3,20201020RS09,19.56678733,18.9011777,18.20893543
Exp3,20201020YO01,20.617,20.77877301,19.89285967
Exp3,20201026AW10,20.73,18.72635253,11.64204108
Exp3,20201026IT06,20.32837705,18.5770722,19.38922004
Exp3,20201027HO14,15.05636505,12.03319154,19.60876705
Exp3,20201102HI13,10.48848966,8.574607204,5.868767007
Exp3,20201110AM05,17.05568047,10.53625113,10.3878673
Exp4,20180830YE01,15.649642,14.73047927,12.02597015
Exp4,20180928HY01,20.746,20.76844408,12.27408873
Exp4,20180928TY02,20.35170489,15.14632562,8.384761905
Exp4,20181005YS09,0.892987922,2.559587362,7.291749271
Exp4,20181019KH13,6.148650746,5.239629567,4.563225887
Exp4,20181026AS02,20.63,13.50053571,13.21846027
Exp4,20181030RI14,12.01107768,8.490225686,15.08404833
Exp4,20181030SU05,18.8272778,12.33789342,7.001508142
Exp4,20181106YT06,16.37978891,18.73748242,11.20856534
Exp4,20181109KM02,12.3270573,10.7933516,17.13080167
Exp4,20181204RT13b,20.27506308,19.83360879,20.4682704
Exp4,20181204SK14,19.07926913,18.40429744,19.39834965
Exp4,20181207RK01,19.721705,12.07918104,7.744397255
Exp4,20181211KO06,18.59839043,11.23347302,16.64003444
Exp4,20181211RM10,19.68546445,8.157042776,9.145509709
Exp4,20190115JY09,13.47348007,12.4853819,18.26499257
Exp4,20190123NM14,17.22291108,18.48753054,13.7692958
Exp4,20190125MS09,18.39840247,14.90242069,16.36732005
